"x","y","type"
431,1018,"foreground"
430,1020,"foreground"
1060,455,"foreground"
1465,620,"foreground"
1870,330,"background"
295,255,"background"
320,1870,"background"
1830,1850,"background"
1618.57142857143,851.428571428571,"foreground"
1588.33333333333,1358.33333333333,"foreground"
510,1363.33333333333,"foreground"
1326.66666666667,1615,"foreground"
813.333333333333,1631.66666666667,"foreground"
